,Central,East,South,SouthWest,NorthWest
2030-03-11 01:00:00,4976.5586696898,3499.76238969038,405.34860001845897,3459.4984039685223,791.5882585506522
2030-03-11 02:00:00,4959.070230681215,3490.1229277812936,399.1857451308237,3440.1332665456403,752.0082301112069
2030-03-11 03:00:00,4939.045346180585,3445.0160295910973,401.0986906124381,3465.884246594794,749.7925659482149
2030-03-11 04:00:00,4938.783260543028,3624.213218252868,409.2961326008836,3456.7275469108963,771.5937469130237
2030-03-11 05:00:00,5101.925230383342,3933.31970910829,432.0516942389687,3500.4875858158343,815.0246826061417
2030-03-11 06:00:00,5330.995951506693,4154.590723067215,478.9589035245238,3786.133970368861,935.490990709041
2030-03-11 07:00:00,5559.336583235965,4090.842968520559,480.1598233592243,3802.2621405903465,1087.6341431613926
2030-03-11 08:00:00,5890.457860862538,4200.013085662405,494.30518699498487,3882.8567635505824,1166.291708740149
2030-03-11 09:00:00,6144.913170388477,4141.622661890143,483.8242625365471,3868.811830600334,1145.6680295867825
2030-03-11 10:00:00,6149.451667599278,4128.674059740265,484.2266738316638,3987.2694620780585,1164.2928956948597
2030-03-11 11:00:00,6178.594790947078,4137.370000287529,480.06947549238487,3786.2157361880695,1139.4425836889866
2030-03-11 12:00:00,5969.117276453715,4033.1215854471006,473.750909217672,3808.310675906102,1110.883013530068
2030-03-11 13:00:00,6167.091910713113,4087.109598111316,471.8728885637063,3808.980982914859,1080.8423898213782
2030-03-11 14:00:00,6209.013775354189,4080.041748869173,479.0311074467921,3858.2538796094655,1084.883630156041
2030-03-11 15:00:00,6285.574228902664,4166.223319992504,484.0269763515332,3772.848931841199,1107.489633576042
2030-03-11 16:00:00,6186.413172498437,4232.516310796005,501.9419985407228,3885.915721195792,1145.8091232399222
2030-03-11 17:00:00,6295.669092763386,4406.52593274052,527.9176296860317,4004.7042937040032,1182.599266140331
2030-03-11 18:00:00,6252.048785658944,4514.12080644173,550.0212547243148,4085.97428997454,1240.8827618559485
2030-03-11 19:00:00,6267.571073872813,4550.01096519634,580.8427582425189,4103.829088315333,1199.0324315193102
2030-03-11 20:00:00,6390.77206989384,4551.7198544530775,563.1973475703179,4082.0073066820087,1237.47116957323
2030-03-11 21:00:00,6106.098054558962,4283.102415187627,533.9804819384844,3945.0935176255502,1158.1340602629016
2030-03-11 22:00:00,5750.818244722032,3961.560534386415,483.93093064355503,3754.2405533568935,1079.2222798585583
2030-03-11 23:00:00,5447.502690974359,3743.125976180095,439.636196943236,3599.0842158079217,925.6422894098956
2030-03-12 00:00:00,5231.320633436575,3645.5189760847993,421.0915157982836,3491.352376352857,833.6646415541425
2030-03-12 01:00:00,5053.661262269982,3582.694062173197,403.4874246314804,3498.745146979091,794.8189962949917
